entry_time,entry_price,entry_dir,exit_time,exit_price,exit_reason,entry_reason,raw_points,export_slippage_one_way_pts,export_slippage_round_trip_pts,export_net_points,export_net_pnl
2026-01-30 21:15:00,32079.0,SHORT,2026-01-31 01:00:00,32104.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-25.0,2.0,4.0,-29.0,-5800.0
2026-01-31 01:15:00,32007.0,SHORT,2026-01-31 01:45:00,32031.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-24.0,2.0,4.0,-28.0,-5600.0
2026-01-31 02:00:00,31977.0,SHORT,2026-01-31 03:30:00,32002.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-25.0,2.0,4.0,-29.0,-5800.0
2026-01-31 03:45:00,31961.0,SHORT,2026-02-02 15:30:00,31699.0,"ATR移動停利(啟動: K=2 * ATR35=228.17點, 回落: K=2 * ATR25=225.84點)",空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,262.0,2.0,4.0,258.0,51600.0
2026-02-03 01:00:00,32230.0,LONG,2026-02-03 10:15:00,32202.0,保利回本出場(獲利曾>= 50 點後回到成本),多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-28.0,2.0,4.0,-32.0,-6400.0
2026-02-03 11:45:00,32178.0,LONG,2026-02-03 19:45:00,32332.0,"ATR移動停利(啟動: K=2 * ATR35=143.83點, 回落: K=2 * ATR25=109.92點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,154.0,2.0,4.0,150.0,30000.0
2026-02-03 20:30:00,32396.0,LONG,2026-02-03 23:15:00,32108.0,"ATR停損(K=3.0, ATR=10, 門檻=220.20點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,-288.0,2.0,4.0,-292.0,-58400.0
2026-02-04 01:30:00,31967.0,SHORT,2026-02-04 05:00:00,32050.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-83.0,2.0,4.0,-87.0,-17400.0
2026-02-04 10:30:00,32425.0,LONG,2026-02-04 22:15:00,32470.0,"ATR移動停利(啟動: K=2 * ATR35=94.46點, 回落: K=2 * ATR25=92.00點)",多：收盤>PUBU5>PUBU10>KAMA 且 ADX>=10.0,45.0,2.0,4.0,41.0,8200.0
2026-02-05 01:15:00,32024.0,SHORT,2026-02-05 04:15:00,32036.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-12.0,2.0,4.0,-16.0,-3200.0
2026-02-05 04:30:00,31975.0,SHORT,2026-02-05 09:15:00,32074.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-99.0,2.0,4.0,-103.0,-20600.0
2026-02-05 10:15:00,32033.0,SHORT,2026-02-05 10:45:00,32096.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-63.0,2.0,4.0,-67.0,-13400.0
2026-02-05 11:15:00,31954.0,SHORT,2026-02-05 15:45:00,31978.0,保利回本出場(獲利曾>= 50 點後回到成本),空：收盤<PUBU5<PUBU10<KAMA 且 ADX>=10.0,-24.0,2.0,4.0,-28.0,-5600.0
